capacite,effectif_total_candidats,effectif_total_candidates,effectif_total_proposition_admission,effectif_total_admis_boursiers_neo_bac, effectif_admis_meme_academie, poucentage_admis_selon_candidats
22,194,25,67,8,15,11.34020618556701030900
30,551,212,417,3,26,5.62613430127041742300
40,2168,1037,122,2,3,1.66051660516605166100
16,87,14,39,4,13,18.39080459770114942500
20,60,32,47,1,4,15.00000000000000000000
150,801,283,788,13,20,18.60174781523096129800
40,4165,1111,2805,4,30,1.63265306122448979600
40,1436,1130,299,3,33,2.71587743732590529200
16,154,29,37,11,18,11.68831168831168831200
15,339,99,45,6,11,4.42477876106194690300
36,125,59,76,2,26,22.40000000000000000000
120,471,304,462,19,20,24.62845010615711252700
35,1039,432,215,12,22,2.79114533205004812300
35,782,522,344,2,16,3.45268542199488491000
43,739,503,183,2,11,4.87144790257104194900
20,522,405,43,3,1,4.21455938697318007700
27,538,486,93,19,20,5.01858736059479553900
80,1740,1323,497,30,25,4.31034482758620689700
150,905,402,626,19,20,16.79558011049723756900
8,60,4,26,2,6,13.33333333333333333300
105,3382,2507,561,39,9,3.22294500295683027800
30,428,349,122,1,9,6.77570093457943925200
12,280,18,63,2,8,3.92857142857142857100
18,111,25,35,1,12,16.21621621621621621600
50,223,142,183,1,11,10.31390134529147982100
10,273,200,78,2,7,3.66300366300366300400
18,149,120,74,5,11,12.08053691275167785200
24,1926,1108,145,14,15,1.09034267912772585700
96,2467,1773,517,10,49,3.81029590595865423600
15,86,1,41,1,11,16.27906976744186046500
50,270,165,123,5,4,18.51851851851851851900
30,804,153,216,0,5,2.86069651741293532300
35,300,123,183,5,18,7.66666666666666666700
3,116,18,13,1,0,2.58620689655172413800
35,1740,1205,155,9,22,1.95402298850574712600
4,193,106,155,0,0,2.07253886010362694300
45,602,40,296,8,17,6.14617940199335548200
33,1270,717,138,12,15,2.28346456692913385800
48,1283,352,346,7,45,3.74123148869836321100
21,307,122,238,3,7,7.49185667752442996700
48,1153,190,417,6,15,3.90286209887250650500
26,264,160,68,4,14,10.60606060606060606100
15,78,6,48,1,4,7.69230769230769230800
50,483,266,87,9,38,10.35196687370600414100
80,714,372,559,11,18,5.60224089635854341700
10,414,375,51,1,0,2.41545893719806763300
40,282,229,74,2,6,14.18439716312056737600
106,2122,1052,521,30,62,4.28840716305372290300
90,199,28,126,3,6,16.58291457286432160800
360,3320,1097,1228,51,282,10.66265060240963855400
37,621,383,274,4,7,5.79710144927536231900
36,185,95,99,7,24,14.59459459459459459500
40,225,95,130,11,21,12.44444444444444444400
35,769,339,147,16,33,4.81144343302990897300
35,667,402,158,1,3,3.74812593703148425800
56,2697,920,306,20,21,2.26177233963663329600
15,510,300,57,2,5,2.94117647058823529400
40,58,18,45,1,17,34.48275862068965517200
